name,datetime_utc,latitude_deg,longitude_deg,altitude_km
GSAT0206 (GALILEO 10),2025-10-16 14:22:22.045330,54.12238428334414,92.5339657393959,23230.400437098793
GSAT0206 (GALILEO 10),2025-10-16 14:32:22.045330,53.00550032153769,96.95146116733278,23230.655188054032
GSAT0206 (GALILEO 10),2025-10-16 14:42:22.045330,51.50873501234106,100.96297951678586,23230.800559654374
GSAT0206 (GALILEO 10),2025-10-16 14:52:22.045330,49.67514529975155,104.5158011910533,23230.844425579384
GSAT0206 (GALILEO 10),2025-10-16 15:02:22.045330,47.54931385987835,107.59545615075939,23230.797306856337
GSAT0206 (GALILEO 10),2025-10-16 15:12:22.045330,45.17393421202213,110.21581808221649,23230.672074251295
GSAT0206 (GALILEO 10),2025-10-16 15:22:22.045330,42.587807570898455,112.40872391031648,23230.48359697048
GSAT0206 (GALILEO 10),2025-10-16 15:32:22.045330,39.82499372895198,114.21540331187109,23230.2483458943
GSAT0206 (GALILEO 10),2025-10-16 15:42:22.045330,36.91473536548668,115.68040673037551,23229.98396056807
GSAT0206 (GALILEO 10),2025-10-16 15:52:22.045330,33.88181747710078,116.84780482235972,23229.708789963126
GSAT0206 (GALILEO 10),2025-10-16 16:02:22.045330,30.747121998894816,117.75910143864895,23229.441417583213
GSAT0206 (GALILEO 10),2025-10-16 16:12:22.045330,27.528231538443755,118.45229749998198,23229.200181814074
GSAT0206 (GALILEO 10),2025-10-16 16:22:22.045330,24.240004914937444,118.96166241749339,23229.002702492096
GSAT0206 (GALILEO 10),2025-10-16 16:32:22.045330,20.895090686583075,119.31790570727006,23228.865424501426
GSAT0206 (GALILEO 10),2025-10-16 16:42:22.045330,17.504369514989783,119.54855305874342,23228.80318880431
GSAT0206 (GALILEO 10),2025-10-16 16:52:22.045330,14.07732879897896,119.6784105542542,23228.828840674985
GSAT0206 (GALILEO 10),2025-10-16 17:02:22.045330,10.622378573129968,119.73005283728843,23228.952884061593
GSAT0206 (GALILEO 10),2025-10-16 17:12:22.045330,7.147119489171996,119.72430338020149,23229.18318996032
GSAT0206 (GALILEO 10),2025-10-16 17:22:22.045330,3.658573729223456,119.68069427379478,23229.52476547669
GSAT0206 (GALILEO 10),2025-10-16 17:32:22.045330,0.16338902502116343,119.61790402616832,23229.979588897262
GSAT0206 (GALILEO 10),2025-10-16 17:42:22.045330,-3.3319748494234314,119.55417795802877,23230.546514629492
GSAT0206 (GALILEO 10),2025-10-16 17:52:22.045330,-6.821068395795747,119.50773892860748,23231.221250321916
